N, method, avg_max_task_count, std_max_task_count, avg_min_completion_time, std_min_completion_time, avg_min_cost, std_min_cost
10, GA, 1.0, 0.00, 595.00, 0.00, 992.00, 0.00
10, cp, 1.0, 0.00, 595.00, 0.00, 992.00, 0.00
10, greedy, 1.0, 0.00, 595.00, 0.00, 992.00, 0.00
10, ilp, 1.0, 0.00, 595.00, 0.00, 992.00, 0.00
10, local_search_team_and_order, 1.0, 0.00, 595.00, 0.00, 992.00, 0.00
10, local_search_time, 1.0, 0.00, 1031.70, 265.77, 578.10, 271.52
10, simulated_annealing, 1.0, 0.00, 595.00, 0.00, 992.00, 0.00
10, tabu_search, 1.0, 0.00, 595.00, 0.00, 992.00, 0.00
100, GA, 52.0, 0.00, 4230.90, 57.71, 24790.70, 680.24
100, cp, 52.0, 0.00, 4211.00, 0.00, 9906.00, 0.00
100, greedy, 52.0, 0.00, 4211.00, 0.00, 19045.00, 0.00
100, ilp, 52.0, 0.00, 4211.00, 0.00, 9906.00, 0.00
100, local_search_team_and_order, 52.0, 0.00, 4211.40, 0.80, 10536.60, 270.54
100, local_search_time, 52.0, 0.00, 4886.80, 558.75, 26894.50, 1645.39
100, simulated_annealing, 52.0, 0.00, 4211.20, 0.60, 24535.00, 894.25
100, tabu_search, 52.0, 0.00, 4211.60, 0.92, 10849.80, 563.91
1000, GA, 185.0, 0.00, 3243.10, 157.32, 92128.40, 4741.97
1000, cp, 185.0, 0.00, 3002.00, 0.00, 17695.00, 0.00
1000, greedy, 185.0, 0.00, 3002.00, 0.00, 71729.00, 0.00
1000, ilp, 185.0, 0.00, 3002.00, 0.00, 17695.00, 0.00
1000, local_search_team_and_order, 185.0, 0.00, 3031.80, 50.20, 23370.70, 2777.62
1000, local_search_time, 185.0, 0.00, 3823.30, 575.22, 96317.40, 3095.96
1000, simulated_annealing, 185.0, 0.00, 3090.70, 76.99, 92629.80, 5063.81
1000, tabu_search, 185.0, 0.00, 3118.60, 216.25, 22043.00, 1832.97
50, GA, 48.0, 0.00, 6584.60, 179.15, 22941.30, 934.29
50, cp, 48.0, 0.00, 6358.00, 0.00, 4168.00, 0.00
50, greedy, 48.0, 0.00, 6422.00, 0.00, 16162.00, 0.00
50, ilp, 48.0, 0.00, 6358.00, 0.00, 4168.00, 0.00
50, local_search_team_and_order, 48.0, 0.00, 6505.50, 195.12, 4880.70, 301.05
50, local_search_time, 48.0, 0.00, 7701.70, 830.44, 19351.20, 3005.85
50, simulated_annealing, 48.0, 0.00, 6402.20, 56.07, 22900.00, 2293.84
50, tabu_search, 48.0, 0.00, 6415.30, 91.67, 4825.30, 223.02
500, GA, 391.0, 0.00, 7736.00, 197.58, 199984.10, 3030.95
500, cp, 391.0, 0.00, 7546.00, 0.00, 144086.00, 0.00
500, greedy, 391.0, 0.00, 7590.00, 0.00, 168299.00, 0.00
500, ilp, 391.0, 0.00, 7546.00, 0.00, 144086.00, 0.00
500, local_search_team_and_order, 391.0, 0.00, 7605.30, 162.82, 153517.10, 2537.68
500, local_search_time, 391.0, 0.00, 8719.80, 696.52, 199663.50, 3728.26
500, simulated_annealing, 391.0, 0.00, 7654.20, 172.98, 199982.40, 3833.28
500, tabu_search, 391.0, 0.00, 7710.50, 294.12, 153537.00, 1940.47
